concept,category,question,label,predicted,correct
shortbread,toy,Is a shortbread a toy? Answer only in yes or no.,No,yes,False
shorts,clothing,Is a shorts a clothing? Answer only in yes or no.,Yes,yes,True
shorts,vehicle,Is a shorts a vehicle? Answer only in yes or no.,No,yes,False
shoulder,body part,Is a shoulder a body part? Answer only in yes or no.,Yes,yes,True
shoulder,sea animal,Is a shoulder a sea animal? Answer only in yes or no.,No,yes,False
shovel,tool,Is a shovel a tool? Answer only in yes or no.,Yes,yes,True
shovel,insect,Is a shovel an insect? Answer only in yes or no.,No,yes,False
shovel,construction equipment,Is a shovel a construction equipment? Answer only in yes or no.,Yes,yes,True
shovel,bird,Is a shovel a bird? Answer only in yes or no.,No,yes,False
shovel,garden tool,Is a shovel a garden tool? Answer only in yes or no.,Yes,yes,True
shovel,protective clothing,Is a shovel a protective clothing? Answer only in yes or no.,No,yes,False
shovel,hardware,Is a shovel a hardware? Answer only in yes or no.,Yes,yes,True
shovel,vegetable,Is a shovel a vegetable? Answer only in yes or no.,No,yes,False
shower_cap,personal hygiene item,Is a shower cap a personal hygiene item? Answer only in yes or no.,Yes,yes,True
shower_cap,vegetable,Is a shower cap a vegetable? Answer only in yes or no.,No,yes,False
shredder,electronic device,Is a shredder an electronic device? Answer only in yes or no.,Yes,yes,True
shredder,arts and crafts supply,Is a shredder an arts and crafts supply? Answer only in yes or no.,No,yes,False
shrimp,seafood,Is a shrimp a seafood? Answer only in yes or no.,Yes,yes,True
shrimp,musical instrument,Is a shrimp a musical instrument? Answer only in yes or no.,No,yes,False
shrimp,food,Is a shrimp a food? Answer only in yes or no.,Yes,yes,True
shrimp,mammal,Is a shrimp a mammal? Answer only in yes or no.,No,yes,False
shrimp,animal,Is a shrimp an animal? Answer only in yes or no.,Yes,yes,True
shrimp,drink,Is a shrimp a drink? Answer only in yes or no.,No,yes,False
shrimp,sea animal,Is a shrimp a sea animal? Answer only in yes or no.,Yes,yes,True
shrimp,garden tool,Is a shrimp a garden tool? Answer only in yes or no.,No,yes,False
shuffleboard,game,Is a shuffleboard a game? Answer only in yes or no.,Yes,yes,True
shuffleboard,body part,Is a shuffleboard a body part? Answer only in yes or no.,No,yes,False
sickle,tool,Is a sickle a tool? Answer only in yes or no.,Yes,yes,True
sickle,container,Is a sickle a container? Answer only in yes or no.,No,yes,False
sickle,garden tool,Is a sickle a garden tool? Answer only in yes or no.,Yes,yes,True
sickle,mammal,Is a sickle a mammal? Answer only in yes or no.,No,yes,False
sifter,kitchen tool,Is a sifter a kitchen tool? Answer only in yes or no.,Yes,yes,True
sifter,game,Is a sifter a game? Answer only in yes or no.,No,yes,False
skateboard,vehicle,Is a skateboard a vehicle? Answer only in yes or no.,Yes,yes,True
skateboard,part of car,Is a skateboard a part of car? Answer only in yes or no.,No,yes,False
skateboard,toy,Is a skateboard a toy? Answer only in yes or no.,Yes,yes,True
skateboard,safety equipment,Is a skateboard a safety equipment? Answer only in yes or no.,No,yes,False
skateboard,sports equipment,Is a skateboard a sports equipment? Answer only in yes or no.,Yes,yes,True
skateboard,safety equipment,Is a skateboard a safety equipment? Answer only in yes or no.,No,yes,False
skeleton,body part,Is a skeleton a body part? Answer only in yes or no.,Yes,yes,True
skeleton,vehicle,Is a skeleton a vehicle? Answer only in yes or no.,No,yes,False
skewer,kitchen tool,Is a skewer a kitchen tool? Answer only in yes or no.,Yes,yes,True
skewer,home appliance,Is a skewer a home appliance? Answer only in yes or no.,No,yes,False
ski,sports equipment,Is a ski a sports equipment? Answer only in yes or no.,Yes,yes,True
ski,dessert,Is a ski a dessert? Answer only in yes or no.,No,yes,False
ski_boots,clothing,Is a ski boots a clothing? Answer only in yes or no.,Yes,yes,True
ski_boots,condiment,Is a ski boots a condiment? Answer only in yes or no.,No,yes,False
ski_boots,footwear,Is a ski boots a footwear? Answer only in yes or no.,Yes,yes,True
ski_boots,watercraft,Is a ski boots a watercraft? Answer only in yes or no.,No,yes,False
ski_boots,sports equipment,Is a ski boots a sports equipment? Answer only in yes or no.,Yes,yes,True
ski_boots,plant,Is a ski boots a plant? Answer only in yes or no.,No,yes,False
ski_pole,sports equipment,Is a ski pole a sports equipment? Answer only in yes or no.,Yes,yes,True
ski_pole,jewelry,Is a ski pole a jewelry? Answer only in yes or no.,No,yes,False
skirt,women's clothing,Is a skirt a women's clothing? Answer only in yes or no.,Yes,yes,True
skirt,lighting,Is a skirt a lighting? Answer only in yes or no.,No,yes,False
skirt,clothing,Is a skirt a clothing? Answer only in yes or no.,Yes,yes,True
skirt,fastener,Is a skirt a fastener? Answer only in yes or no.,No,yes,False
skull,body part,Is a skull a body part? Answer only in yes or no.,Yes,yes,True
skull,home decor,Is a skull a home decor? Answer only in yes or no.,No,yes,False
skunk,mammal,Is a skunk a mammal? Answer only in yes or no.,Yes,yes,True
skunk,weapon,Is a skunk a weapon? Answer only in yes or no.,No,yes,False
skunk,animal,Is a skunk an animal? Answer only in yes or no.,Yes,yes,True
skunk,electronic device,Is a skunk an electronic device? Answer only in yes or no.,No,yes,False
sled,vehicle,Is a sled a vehicle? Answer only in yes or no.,Yes,yes,True
sled,food,Is a sled a food? Answer only in yes or no.,No,yes,False
sled,sports equipment,Is a sled a sports equipment? Answer only in yes or no.,Yes,yes,True
sled,hardware,Is a sled a hardware? Answer only in yes or no.,No,yes,False
sledgehammer,tool,Is a sledgehammer a tool? Answer only in yes or no.,Yes,yes,True
sledgehammer,game,Is a sledgehammer a game? Answer only in yes or no.,No,yes,False
sledgehammer,construction equipment,Is a sledgehammer a construction equipment? Answer only in yes or no.,Yes,yes,True
sledgehammer,drink,Is a sledgehammer a drink? Answer only in yes or no.,No,yes,False
sledgehammer,hardware,Is a sledgehammer a hardware? Answer only in yes or no.,Yes,yes,True
sledgehammer,weapon,Is a sledgehammer a weapon? Answer only in yes or no.,No,yes,False
slicer,electronic device,Is a slicer an electronic device? Answer only in yes or no.,Yes,yes,True
slicer,footwear,Is a slicer a footwear? Answer only in yes or no.,No,yes,False
slicer,kitchen appliance,Is a slicer a kitchen appliance? Answer only in yes or no.,Yes,yes,True
slicer,medical equipment,Is a slicer a medical equipment? Answer only in yes or no.,No,yes,False
sling,medical equipment,Is a sling a medical equipment? Answer only in yes or no.,Yes,yes,True
sling,kitchen appliance,Is a sling a kitchen appliance? Answer only in yes or no.,No,yes,False
slingshot,toy,Is a slingshot a toy? Answer only in yes or no.,Yes,yes,True
slingshot,home appliance,Is a slingshot a home appliance? Answer only in yes or no.,No,yes,False
slingshot,weapon,Is a slingshot a weapon? Answer only in yes or no.,Yes,yes,True
slingshot,clothing accessory,Is a slingshot a clothing accessory? Answer only in yes or no.,No,yes,False
slipper,clothing,Is a slipper a clothing? Answer only in yes or no.,Yes,yes,True
slipper,sea animal,Is a slipper a sea animal? Answer only in yes or no.,No,yes,False
slipper,footwear,Is a slipper a footwear? Answer only in yes or no.,Yes,yes,True
slipper,container,Is a slipper a container? Answer only in yes or no.,No,yes,False
slot_machine,game,Is a slot machine a game? Answer only in yes or no.,Yes,yes,True
slot_machine,fastener,Is a slot machine a fastener? Answer only in yes or no.,No,yes,False
slot_machine,electronic device,Is a slot machine an electronic device? Answer only in yes or no.,Yes,yes,True
slot_machine,plant,Is a slot machine a plant? Answer only in yes or no.,No,yes,False
sloth,mammal,Is a sloth a mammal? Answer only in yes or no.,Yes,yes,True
sloth,women's clothing,Is a sloth a women's clothing? Answer only in yes or no.,No,yes,False
sloth,animal,Is a sloth an animal? Answer only in yes or no.,Yes,yes,True
sloth,bird,Is a sloth a bird? Answer only in yes or no.,No,yes,False
slug,animal,Is a slug an animal? Answer only in yes or no.,Yes,yes,True
slug,clothing,Is a slug a clothing? Answer only in yes or no.,No,yes,False
smoke_alarm,electronic device,Is a smoke alarm an electronic device? Answer only in yes or no.,Yes,yes,True
smoke_alarm,musical instrument,Is a smoke alarm a musical instrument? Answer only in yes or no.,No,yes,False
smoke_alarm,safety equipment,Is a smoke alarm a safety equipment? Answer only in yes or no.,Yes,yes,True
smoke_alarm,footwear,Is a smoke alarm a footwear? Answer only in yes or no.,No,yes,False
smoothie,drink,Is a smoothie a drink? Answer only in yes or no.,Yes,yes,True
smoothie,construction equipment,Is a smoothie a construction equipment? Answer only in yes or no.,No,yes,False
snail,seafood,Is a snail a seafood? Answer only in yes or no.,Yes,yes,True
snail,body part,Is a snail a body part? Answer only in yes or no.,No,yes,False
snail,animal,Is a snail an animal? Answer only in yes or no.,Yes,yes,True
snail,office supply,Is a snail an office supply? Answer only in yes or no.,No,yes,False
snail,sea animal,Is a snail a sea animal? Answer only in yes or no.,Yes,yes,True
snail,headwear,Is a snail a headwear? Answer only in yes or no.,No,yes,False
snake,animal,Is a snake an animal? Answer only in yes or no.,Yes,yes,True
snake,clothing,Is a snake a clothing? Answer only in yes or no.,No,yes,False
snorkel,sports equipment,Is a snorkel a sports equipment? Answer only in yes or no.,Yes,yes,True
snorkel,jewelry,Is a snorkel a jewelry? Answer only in yes or no.,No,yes,False
snowboard,sports equipment,Is a snowboard a sports equipment? Answer only in yes or no.,Yes,yes,True
snowboard,headwear,Is a snowboard a headwear? Answer only in yes or no.,No,yes,False
snowmobile,vehicle,Is a snowmobile a vehicle? Answer only in yes or no.,Yes,yes,True
snowmobile,fastener,Is a snowmobile a fastener? Answer only in yes or no.,No,yes,False
snowplow,vehicle,Is a snowplow a vehicle? Answer only in yes or no.,Yes,yes,True
snowplow,condiment,Is a snowplow a condiment? Answer only in yes or no.,No,yes,False
snowshoe,clothing,Is a snowshoe a clothing? Answer only in yes or no.,Yes,yes,True
snowshoe,toy,Is a snowshoe a toy? Answer only in yes or no.,No,yes,False
snowshoe,footwear,Is a snowshoe a footwear? Answer only in yes or no.,Yes,yes,True
snowshoe,dessert,Is a snowshoe a dessert? Answer only in yes or no.,No,yes,False
snowshoe,sports equipment,Is a snowshoe a sports equipment? Answer only in yes or no.,Yes,yes,True
snowshoe,bird,Is a snowshoe a bird? Answer only in yes or no.,No,yes,False
snowsuit,clothing,Is a snowsuit a clothing? Answer only in yes or no.,Yes,yes,True
snowsuit,game,Is a snowsuit a game? Answer only in yes or no.,No,yes,False
snowsuit,outerwear,Is a snowsuit an outerwear? Answer only in yes or no.,Yes,yes,True
snowsuit,personal hygiene item,Is a snowsuit a personal hygiene item? Answer only in yes or no.,No,yes,False
soccer_ball,sports equipment,Is a soccer ball a sports equipment? Answer only in yes or no.,Yes,yes,True
soccer_ball,scientific equipment,Is a soccer ball a scientific equipment? Answer only in yes or no.,No,yes,False
sock,clothing,Is a sock a clothing? Answer only in yes or no.,Yes,yes,True
sock,bird,Is a sock a bird? Answer only in yes or no.,No,yes,False
sock,footwear,Is a sock a footwear? Answer only in yes or no.,Yes,yes,True
sock,furniture,Is a sock a furniture? Answer only in yes or no.,No,yes,False
soda_fountain,home appliance,Is a soda fountain a home appliance? Answer only in yes or no.,Yes,yes,True
soda_fountain,footwear,Is a soda fountain a footwear? Answer only in yes or no.,No,yes,False
sofa_bed,furniture,Is a sofa bed a furniture? Answer only in yes or no.,Yes,yes,True
sofa_bed,lighting,Is a sofa bed a lighting? Answer only in yes or no.,No,yes,False
soldering_iron,tool,Is a soldering iron a tool? Answer only in yes or no.,Yes,yes,True
soldering_iron,part of car,Is a soldering iron a part of car? Answer only in yes or no.,No,yes,False
soldering_iron,hardware,Is a soldering iron a hardware? Answer only in yes or no.,Yes,yes,True
soldering_iron,drink,Is a soldering iron a drink? Answer only in yes or no.,No,yes,False
sombrero,headwear,Is a sombrero a headwear? Answer only in yes or no.,Yes,yes,True
sombrero,food,Is a sombrero a food? Answer only in yes or no.,No,yes,False
sombrero,clothing accessory,Is a sombrero a clothing accessory? Answer only in yes or no.,Yes,yes,True
sombrero,vehicle,Is a sombrero a vehicle? Answer only in yes or no.,No,yes,False
sombrero,clothing,Is a sombrero a clothing? Answer only in yes or no.,Yes,yes,True
sombrero,office supply,Is a sombrero an office supply? Answer only in yes or no.,No,yes,False
sorbet,food,Is a sorbet a food? Answer only in yes or no.,Yes,yes,True
sorbet,tool,Is a sorbet a tool? Answer only in yes or no.,No,yes,False
sorbet,dessert,Is a sorbet a dessert? Answer only in yes or no.,Yes,yes,True
sorbet,home appliance,Is a sorbet a home appliance? Answer only in yes or no.,No,yes,False
souffle,food,Is a souffle a food? Answer only in yes or no.,Yes,yes,True
souffle,fastener,Is a souffle a fastener? Answer only in yes or no.,No,yes,False
souffle,dessert,Is a souffle a dessert? Answer only in yes or no.,Yes,yes,True
souffle,jewelry,Is a souffle a jewelry? Answer only in yes or no.,No,yes,False
soup,food,Is a soup a food? Answer only in yes or no.,Yes,yes,True
soup,fastener,Is a soup a fastener? Answer only in yes or no.,No,yes,False
soy_sauce,food,Is a soy sauce a food? Answer only in yes or no.,Yes,yes,True
soy_sauce,office supply,Is a soy sauce an office supply? Answer only in yes or no.,No,yes,False
soy_sauce,condiment,Is a soy sauce a condiment? Answer only in yes or no.,Yes,yes,True
soy_sauce,musical instrument,Is a soy sauce a musical instrument? Answer only in yes or no.,No,yes,False
space_shuttle,vehicle,Is a space shuttle a vehicle? Answer only in yes or no.,Yes,yes,True
space_shuttle,kitchen appliance,Is a space shuttle a kitchen appliance? Answer only in yes or no.,No,yes,False
spacesuit,safety equipment,Is a spacesuit a safety equipment? Answer only in yes or no.,Yes,yes,True
spacesuit,electronic device,Is a spacesuit an electronic device? Answer only in yes or no.,No,yes,False
spacesuit,clothing,Is a spacesuit a clothing? Answer only in yes or no.,Yes,yes,True
spacesuit,breakfast food,Is a spacesuit a breakfast food? Answer only in yes or no.,No,yes,False
spacesuit,protective clothing,Is a spacesuit a protective clothing? Answer only in yes or no.,Yes,yes,True
spacesuit,animal,Is a spacesuit an animal? Answer only in yes or no.,No,yes,False
spareribs,food,Is a spareribs a food? Answer only in yes or no.,Yes,yes,True
spareribs,arts and crafts supply,Is a spareribs an arts and crafts supply? Answer only in yes or no.,No,yes,False
spark_plug,part of car,Is a spark plug a part of car? Answer only in yes or no.,Yes,yes,True
spark_plug,game,Is a spark plug a game? Answer only in yes or no.,No,yes,False
spark_plug,hardware,Is a spark plug a hardware? Answer only in yes or no.,Yes,yes,True
spark_plug,game,Is a spark plug a game? Answer only in yes or no.,No,yes,False
spatula,tool,Is a spatula a tool? Answer only in yes or no.,Yes,yes,True
spatula,condiment,Is a spatula a condiment? Answer only in yes or no.,No,yes,False
spatula,kitchen tool,Is a spatula a kitchen tool? Answer only in yes or no.,Yes,yes,True
spatula,dessert,Is a spatula a dessert? Answer only in yes or no.,No,yes,False
spear,weapon,Is a spear a weapon? Answer only in yes or no.,Yes,yes,True
spear,condiment,Is a spear a condiment? Answer only in yes or no.,No,yes,False
speedometer,part of car,Is a speedometer a part of car? Answer only in yes or no.,Yes,yes,True
speedometer,game,Is a speedometer a game? Answer only in yes or no.,No,yes,False
spider,animal,Is a spider an animal? Answer only in yes or no.,Yes,yes,True
spider,lighting,Is a spider a lighting? Answer only in yes or no.,No,yes,False
spinach,food,Is a spinach a food? Answer only in yes or no.,Yes,yes,True
spinach,seafood,Is a spinach a seafood? Answer only in yes or no.,No,yes,False
spinach,vegetable,Is a spinach a vegetable? Answer only in yes or no.,Yes,yes,True
spinach,mammal,Is a spinach a mammal? Answer only in yes or no.,No,yes,False
spinach,plant,Is a spinach a plant? Answer only in yes or no.,Yes,yes,True
spinach,clothing,Is a spinach a clothing? Answer only in yes or no.,No,yes,False
spoon,tool,Is a spoon a tool? Answer only in yes or no.,Yes,yes,True
spoon,drink,Is a spoon a drink? Answer only in yes or no.,No,yes,False
spoon,kitchen tool,Is a spoon a kitchen tool? Answer only in yes or no.,Yes,yes,True
spoon,dessert,Is a spoon a dessert? Answer only in yes or no.,No,yes,False
spring_roll,food,Is a spring roll a food? Answer only in yes or no.,Yes,yes,True
spring_roll,lighting,Is a spring roll a lighting? Answer only in yes or no.,No,yes,False
springboard,sports equipment,Is a springboard a sports equipment? Answer only in yes or no.,Yes,yes,True
springboard,vegetable,Is a springboard a vegetable? Answer only in yes or no.,No,yes,False
sprouts,food,Is a sprouts a food? Answer only in yes or no.,Yes,yes,True
sprouts,candy,Is a sprouts a candy? Answer only in yes or no.,No,yes,False
sprouts,vegetable,Is a sprouts a vegetable? Answer only in yes or no.,Yes,yes,True
sprouts,body part,Is a sprouts a body part? Answer only in yes or no.,No,yes,False
squash,food,Is a squash a food? Answer only in yes or no.,Yes,yes,True
squash,safety equipment,Is a squash a safety equipment? Answer only in yes or no.,No,yes,False
squash,vegetable,Is a squash a vegetable? Answer only in yes or no.,Yes,yes,True
squash,body part,Is a squash a body part? Answer only in yes or no.,No,yes,False
squeegee,tool,Is a squeegee a tool? Answer only in yes or no.,Yes,yes,True
squeegee,watercraft,Is a squeegee a watercraft? Answer only in yes or no.,No,yes,False
squid,seafood,Is a squid a seafood? Answer only in yes or no.,Yes,yes,True
squid,school supply,Is a squid a school supply? Answer only in yes or no.,No,yes,False
squid,food,Is a squid a food? Answer only in yes or no.,Yes,yes,True
squid,clothing accessory,Is a squid a clothing accessory? Answer only in yes or no.,No,yes,False
squid,animal,Is a squid an animal? Answer only in yes or no.,Yes,yes,True
squid,body part,Is a squid a body part? Answer only in yes or no.,No,yes,False
squid,sea animal,Is a squid a sea animal? Answer only in yes or no.,Yes,yes,True
squid,safety equipment,Is a squid a safety equipment? Answer only in yes or no.,No,yes,False
squirrel,mammal,Is a squirrel a mammal? Answer only in yes or no.,Yes,yes,True
squirrel,seafood,Is a squirrel a seafood? Answer only in yes or no.,No,yes,False
squirrel,animal,Is a squirrel an animal? Answer only in yes or no.,Yes,yes,True
squirrel,condiment,Is a squirrel a condiment? Answer only in yes or no.,No,yes,False
squirt_gun,toy,Is a squirt gun a toy? Answer only in yes or no.,Yes,yes,True
squirt_gun,arts and crafts supply,Is a squirt gun an arts and crafts supply? Answer only in yes or no.,No,yes,False
stained_glass,home decor,Is a stained glass a home decor? Answer only in yes or no.,Yes,yes,True
stained_glass,kitchen appliance,Is a stained glass a kitchen appliance? Answer only in yes or no.,No,yes,False
staple,office supply,Is a staple an office supply? Answer only in yes or no.,Yes,yes,True
staple,hardware,Is a staple a hardware? Answer only in yes or no.,No,yes,False
staple,fastener,Is a staple a fastener? Answer only in yes or no.,Yes,yes,True
staple,weapon,Is a staple a weapon? Answer only in yes or no.,No,yes,False
staple_gun,tool,Is a staple gun a tool? Answer only in yes or no.,Yes,yes,True
staple_gun,plant,Is a staple gun a plant? Answer only in yes or no.,No,yes,False
staple_gun,construction equipment,Is a staple gun a construction equipment? Answer only in yes or no.,Yes,yes,True
staple_gun,sports equipment,Is a staple gun a sports equipment? Answer only in yes or no.,No,yes,False
staple_gun,hardware,Is a staple gun a hardware? Answer only in yes or no.,Yes,yes,True
staple_gun,arts and crafts supply,Is a staple gun an arts and crafts supply? Answer only in yes or no.,No,yes,False
stapler,office supply,Is a stapler an office supply? Answer only in yes or no.,Yes,yes,True
stapler,seafood,Is a stapler a seafood? Answer only in yes or no.,No,yes,False
stapler,school supply,Is a stapler a school supply? Answer only in yes or no.,Yes,yes,True
stapler,bird,Is a stapler a bird? Answer only in yes or no.,No,yes,False
star_fruit,food,Is a star fruit a food? Answer only in yes or no.,Yes,yes,True
star_fruit,home appliance,Is a star fruit a home appliance? Answer only in yes or no.,No,yes,False
star_fruit,fruit,Is a star fruit a fruit? Answer only in yes or no.,Yes,yes,True
star_fruit,container,Is a star fruit a container? Answer only in yes or no.,No,yes,False
starfish,animal,Is a starfish an animal? Answer only in yes or no.,Yes,yes,True
starfish,kitchen appliance,Is a starfish a kitchen appliance? Answer only in yes or no.,No,yes,False
starfish,sea animal,Is a starfish a sea animal? Answer only in yes or no.,Yes,yes,True
starfish,weapon,Is a starfish a weapon? Answer only in yes or no.,No,yes,False
station_wagon,vehicle,Is a station wagon a vehicle? Answer only in yes or no.,Yes,yes,True
station_wagon,animal,Is a station wagon an animal? Answer only in yes or no.,No,yes,False
statue,home decor,Is a statue a home decor? Answer only in yes or no.,Yes,yes,True
statue,personal hygiene item,Is a statue a personal hygiene item? Answer only in yes or no.,No,yes,False
steak,food,Is a steak a food? Answer only in yes or no.,Yes,yes,True
steak,condiment,Is a steak a condiment? Answer only in yes or no.,No,yes,False
steamroller,vehicle,Is a steamroller a vehicle? Answer only in yes or no.,Yes,yes,True
steamroller,office supply,Is a steamroller an office supply? Answer only in yes or no.,No,yes,False
steamroller,construction equipment,Is a steamroller a construction equipment? Answer only in yes or no.,Yes,yes,True
steamroller,sports equipment,Is a steamroller a sports equipment? Answer only in yes or no.,No,yes,False
steering_wheel,part of car,Is a steering wheel a part of car? Answer only in yes or no.,Yes,yes,True
steering_wheel,musical instrument,Is a steering wheel a musical instrument? Answer only in yes or no.,No,yes,False
step_stool,furniture,Is a step stool a furniture? Answer only in yes or no.,Yes,yes,True
step_stool,breakfast food,Is a step stool a breakfast food? Answer only in yes or no.,No,yes,False
stereo,electronic device,Is a stereo an electronic device? Answer only in yes or no.,Yes,yes,True
stereo,fruit,Is a stereo a fruit? Answer only in yes or no.,No,yes,False
stethoscope,medical equipment,Is a stethoscope a medical equipment? Answer only in yes or no.,Yes,yes,True
stethoscope,breakfast food,Is a stethoscope a breakfast food? Answer only in yes or no.,No,yes,False
stethoscope,scientific equipment,Is a stethoscope a scientific equipment? Answer only in yes or no.,Yes,yes,True
stethoscope,tool,Is a stethoscope a tool? Answer only in yes or no.,No,yes,False
stew,food,Is a stew a food? Answer only in yes or no.,Yes,yes,True
stew,farm animal,Is a stew a farm animal? Answer only in yes or no.,No,yes,False
stiletto,women's clothing,Is a stiletto a women's clothing? Answer only in yes or no.,Yes,yes,True
stiletto,sea animal,Is a stiletto a sea animal? Answer only in yes or no.,No,yes,False
stiletto,clothing,Is a stiletto a clothing? Answer only in yes or no.,Yes,yes,True
stiletto,drink,Is a stiletto a drink? Answer only in yes or no.,No,yes,False
stiletto,footwear,Is a stiletto a footwear? Answer only in yes or no.,Yes,yes,True
stiletto,scientific equipment,Is a stiletto a scientific equipment? Answer only in yes or no.,No,yes,False
stilt,toy,Is a stilt a toy? Answer only in yes or no.,Yes,yes,True
stilt,safety equipment,Is a stilt a safety equipment? Answer only in yes or no.,No,yes,False
stingray,animal,Is a stingray an animal? Answer only in yes or no.,Yes,yes,True
stingray,scientific equipment,Is a stingray a scientific equipment? Answer only in yes or no.,No,yes,False
stingray,sea animal,Is a stingray a sea animal? Answer only in yes or no.,Yes,yes,True
stingray,home appliance,Is a stingray a home appliance? Answer only in yes or no.,No,yes,False
stockings,women's clothing,Is a stockings a women's clothing? Answer only in yes or no.,Yes,yes,True
stockings,insect,Is a stockings an insect? Answer only in yes or no.,No,yes,False
stockings,clothing,Is a stockings a clothing? Answer only in yes or no.,Yes,yes,True
stockings,sea animal,Is a stockings a sea animal? Answer only in yes or no.,No,yes,False
stockings,footwear,Is a stockings a footwear? Answer only in yes or no.,Yes,yes,True
stockings,garden tool,Is a stockings a garden tool? Answer only in yes or no.,No,yes,False
stopwatch,sports equipment,Is a stopwatch a sports equipment? Answer only in yes or no.,Yes,yes,True
stopwatch,mammal,Is a stopwatch a mammal? Answer only in yes or no.,No,yes,False
straightjacket,clothing,Is a straightjacket a clothing? Answer only in yes or no.,Yes,yes,True
straightjacket,office supply,Is a straightjacket an office supply? Answer only in yes or no.,No,yes,False
strainer,hardware,Is a strainer a hardware? Answer only in yes or no.,Yes,yes,True
strainer,outerwear,Is a strainer an outerwear? Answer only in yes or no.,No,yes,False
strainer,kitchen tool,Is a strainer a kitchen tool? Answer only in yes or no.,Yes,yes,True
strainer,personal hygiene item,Is a strainer a personal hygiene item? Answer only in yes or no.,No,yes,False
strap,fastener,Is a strap a fastener? Answer only in yes or no.,Yes,yes,True
strap,sea animal,Is a strap a sea animal? Answer only in yes or no.,No,yes,False
strawberry,food,Is a strawberry a food? Answer only in yes or no.,Yes,yes,True
strawberry,personal hygiene item,Is a strawberry a personal hygiene item? Answer only in yes or no.,No,yes,False
strawberry,fruit,Is a strawberry a fruit? Answer only in yes or no.,Yes,yes,True
strawberry,farm animal,Is a strawberry a farm animal? Answer only in yes or no.,No,yes,False
streetlight,lighting,Is a streetlight a lighting? Answer only in yes or no.,Yes,yes,True
streetlight,vehicle,Is a streetlight a vehicle? Answer only in yes or no.,No,yes,False
stretcher,medical equipment,Is a stretcher a medical equipment? Answer only in yes or no.,Yes,yes,True
stretcher,fruit,Is a stretcher a fruit? Answer only in yes or no.,No,yes,False
string_cheese,food,Is a string cheese a food? Answer only in yes or no.,Yes,yes,True
string_cheese,garden tool,Is a string cheese a garden tool? Answer only in yes or no.,No,yes,False
stroller,vehicle,Is a stroller a vehicle? Answer only in yes or no.,Yes,yes,True
stroller,part of car,Is a stroller a part of car? Answer only in yes or no.,No,yes,False
stuffing,food,Is a stuffing a food? Answer only in yes or no.,Yes,yes,True
stuffing,sea animal,Is a stuffing a sea animal? Answer only in yes or no.,No,yes,False
submarine,vehicle,Is a submarine a vehicle? Answer only in yes or no.,Yes,yes,True
submarine,women's clothing,Is a submarine a women's clothing? Answer only in yes or no.,No,yes,False
submarine,watercraft,Is a submarine a watercraft? Answer only in yes or no.,Yes,yes,True
submarine,fastener,Is a submarine a fastener? Answer only in yes or no.,No,yes,False
subway,vehicle,Is a subway a vehicle? Answer only in yes or no.,Yes,yes,True
subway,musical instrument,Is a subway a musical instrument? Answer only in yes or no.,No,yes,False
sugar_cube,food,Is a sugar cube a food? Answer only in yes or no.,Yes,yes,True
sugar_cube,bird,Is a sugar cube a bird? Answer only in yes or no.,No,yes,False
suit,clothing,Is a suit a clothing? Answer only in yes or no.,Yes,yes,True
suit,lighting,Is a suit a lighting? Answer only in yes or no.,No,yes,False
suitcase,container,Is a suitcase a container? Answer only in yes or no.,Yes,yes,True
suitcase,office supply,Is a suitcase an office supply? Answer only in yes or no.,No,yes,False
sundae,food,Is a sundae a food? Answer only in yes or no.,Yes,yes,True
sundae,school supply,Is a sundae a school supply? Answer only in yes or no.,No,yes,False
sundae,dessert,Is a sundae a dessert? Answer only in yes or no.,Yes,yes,True
sundae,candy,Is a sundae a candy? Answer only in yes or no.,No,yes,False
sunflower,plant,Is a sunflower a plant? Answer only in yes or no.,Yes,yes,True
sunflower,school supply,Is a sunflower a school supply? Answer only in yes or no.,No,yes,False
sunroof,part of car,Is a sunroof a part of car? Answer only in yes or no.,Yes,yes,True
sunroof,dessert,Is a sunroof a dessert? Answer only in yes or no.,No,yes,False
surfboard,sports equipment,Is a surfboard a sports equipment? Answer only in yes or no.,Yes,yes,True
surfboard,construction equipment,Is a surfboard a construction equipment? Answer only in yes or no.,No,yes,False
suspenders,clothing accessory,Is a suspenders a clothing accessory? Answer only in yes or no.,Yes,yes,True
suspenders,tool,Is a suspenders a tool? Answer only in yes or no.,No,yes,False
suspenders,clothing,Is a suspenders a clothing? Answer only in yes or no.,Yes,yes,True
suspenders,furniture,Is a suspenders a furniture? Answer only in yes or no.,No,yes,False
swab,medical equipment,Is a swab a medical equipment? Answer only in yes or no.,Yes,yes,True
swab,bird,Is a swab a bird? Answer only in yes or no.,No,yes,False
swab,scientific equipment,Is a swab a scientific equipment? Answer only in yes or no.,Yes,yes,True
swab,clothing,Is a swab a clothing? Answer only in yes or no.,No,yes,False
swab,personal hygiene item,Is a swab a personal hygiene item? Answer only in yes or no.,Yes,yes,True
swab,dessert,Is a swab a dessert? Answer only in yes or no.,No,yes,False
swan,bird,Is a swan a bird? Answer only in yes or no.,Yes,yes,True
swan,candy,Is a swan a candy? Answer only in yes or no.,No,yes,False
swan,animal,Is a swan an animal? Answer only in yes or no.,Yes,yes,True
swan,vegetable,Is a swan a vegetable? Answer only in yes or no.,No,yes,False
